# tau [ps];  C6H11N2 [ps*S/m];  C6H11N2-var [ps^2*S^2/m^2];  C2N3 [ps*S/m];  C2N3-var [ps^2*S^2/m^2];  C6H11N2/C6H11N2 [ps*S/m];  C6H11N2/C6H11N2-var [ps^2*S^2/m^2];  C2N3/C2N3 [ps*S/m];  C2N3/C2N3-var [ps^2*S^2/m^2];  C6H11N2/C2N3 [ps*S/m];  C6H11N2/C2N3-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
118.200000;  489.452536;  0.033547;  570.077809;  0.049449;  -402.165887;  0.278535;  -322.765203;  1.981998;  293.850906;  2.730603;  628.450161;  12.489534
118.800000;  491.525339;  0.033772;  572.499010;  0.049790;  -403.796815;  0.281746;  -323.934424;  2.005108;  295.338479;  2.762034;  631.631589;  12.633293
119.400000;  493.590289;  0.034029;  574.906584;  0.050216;  -405.436518;  0.284502;  -325.137128;  2.025325;  296.770075;  2.789737;  634.693302;  12.760005
120.000000;  495.640844;  0.034256;  577.305547;  0.050598;  -407.072697;  0.286685;  -326.362024;  2.040566;  298.165074;  2.811933;  637.676743;  12.861528
120.600000;  497.690021;  0.034496;  579.702349;  0.050966;  -408.669843;  0.290212;  -327.478069;  2.065884;  299.686839;  2.847226;  640.931298;  13.022954
121.200000;  499.730642;  0.034766;  582.092792;  0.051381;  -410.232771;  0.294059;  -328.515046;  2.093844;  301.294995;  2.885465;  644.370612;  13.197858
121.800000;  501.771354;  0.035041;  584.493161;  0.051832;  -411.827387;  0.297636;  -329.651473;  2.120467;  302.796780;  2.921897;  647.582436;  13.364493
122.400000;  503.817641;  0.035308;  586.884481;  0.052246;  -413.432950;  0.300553;  -330.794076;  2.142481;  304.280476;  2.951947;  650.755572;  13.501941
123.000000;  505.854594;  0.035540;  589.276253;  0.052653;  -415.081080;  0.303582;  -332.084178;  2.164682;  305.589453;  2.982362;  653.555042;  13.641058
123.600000;  507.902609;  0.035765;  591.666654;  0.052994;  -416.681774;  0.307568;  -333.207168;  2.194287;  307.095360;  3.023178;  656.775681;  13.827742
124.200000;  509.955241;  0.035994;  594.071911;  0.053353;  -418.291001;  0.310881;  -334.356110;  2.218502;  308.588085;  3.055981;  659.968126;  13.977780
124.800000;  512.007725;  0.036252;  596.479639;  0.053668;  -419.897590;  0.313980;  -335.500462;  2.239973;  310.089196;  3.084743;  663.178508;  14.109335
125.400000;  514.057346;  0.036489;  598.898239;  0.054055;  -421.526694;  0.317358;  -336.727597;  2.263366;  311.504867;  3.117250;  666.206162;  14.258021
126.000000;  516.114377;  0.036715;  601.308487;  0.054444;  -423.140936;  0.320982;  -337.883274;  2.290401;  312.995518;  3.154768;  669.394173;  14.429624
126.600000;  518.164196;  0.036941;  603.708323;  0.054793;  -424.732686;  0.324323;  -338.985249;  2.315080;  314.537605;  3.188886;  672.692188;  14.585676
127.200000;  520.212780;  0.037136;  606.103264;  0.055181;  -426.314108;  0.327495;  -340.056560;  2.339694;  316.110311;  3.223744;  676.055688;  14.745114
127.800000;  522.251308;  0.037390;  608.486450;  0.055534;  -427.920432;  0.330037;  -341.215165;  2.357192;  317.565329;  3.247997;  679.167490;  14.856048
128.400000;  524.296328;  0.037696;  610.880556;  0.055928;  -429.545118;  0.333838;  -342.418323;  2.385972;  318.980385;  3.289129;  682.193828;  15.044181
129.000000;  526.336322;  0.038033;  613.267453;  0.056343;  -431.153844;  0.338066;  -343.583293;  2.418076;  320.432250;  3.333595;  685.298889;  15.247561
129.600000;  528.378833;  0.038329;  615.660912;  0.056769;  -432.747966;  0.341140;  -344.706313;  2.440766;  321.941755;  3.365850;  688.527221;  15.395095
130.200000;  530.421920;  0.038606;  618.052411;  0.057199;  -434.345581;  0.344505;  -345.835640;  2.466397;  323.441437;  3.401871;  691.734547;  15.559850
130.800000;  532.472111;  0.038895;  620.448895;  0.057643;  -435.970299;  0.348599;  -347.026615;  2.496022;  324.873793;  3.443665;  694.797885;  15.751015
131.400000;  534.525143;  0.039186;  622.840352;  0.058064;  -437.584937;  0.351831;  -348.175953;  2.517580;  326.349649;  3.472733;  697.954254;  15.883968
132.000000;  536.578650;  0.039477;  625.247045;  0.058488;  -439.165382;  0.355505;  -349.242301;  2.544909;  327.942215;  3.510413;  701.360227;  16.056313
132.600000;  538.641061;  0.039771;  627.649689;  0.058887;  -440.761455;  0.359054;  -350.323651;  2.570868;  329.512145;  3.546564;  704.717789;  16.221665
133.200000;  540.687660;  0.040047;  630.044291;  0.059204;  -442.346693;  0.363251;  -351.411062;  2.602351;  331.065318;  3.590944;  708.039514;  16.424653
133.800000;  542.728567;  0.040339;  632.432119;  0.059540;  -443.947890;  0.366984;  -352.553041;  2.629549;  332.545606;  3.628597;  711.205362;  16.596875
134.400000;  544.772759;  0.040568;  634.818514;  0.059894;  -445.523411;  0.371251;  -353.611536;  2.661163;  334.123384;  3.672236;  714.579709;  16.796477
135.000000;  546.814287;  0.040761;  637.211629;  0.060243;  -447.141047;  0.374988;  -354.803619;  2.688607;  335.550422;  3.709450;  717.631672;  16.966690
